From	Entry	Entry Name	Protein names	Gene Names	Organism	Length
KC1A_MOUSE	Q8BK63	KC1A_MOUSE	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	Csnk1a1	Mus musculus (Mouse)	337
KCC2A_MOUSE	P11798	KCC2A_MOUSE	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	Camk2a	Mus musculus (Mouse)	478
KDM3B_MOUSE	Q6ZPY7	KDM3B_MOUSE	Lysine-specific demethylase 3B (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2B) (Jumonji domain-containing protein 1B) ([histone H3]-dimethyl-L-lysine(9) demethylase 3B)	Kdm3b Jhdm2b Jmjd1b Kiaa1082	Mus musculus (Mouse)	1762
KIF4_MOUSE	P33174	KIF4_MOUSE	Chromosome-associated kinesin KIF4 (Chromokinesin)	Kif4 Kif4a Kns4	Mus musculus (Mouse)	1231
KIF5A_MOUSE	P33175	KIF5A_MOUSE	Kinesin heavy chain isoform 5A (Kinesin heavy chain neuron-specific 1) (Neuronal kinesin heavy chain) (NKHC)	Kif5a Kiaa4086 Kif5 Nkhc1	Mus musculus (Mouse)	1027
KIFC1_MOUSE	Q9QWT9	KIFC1_MOUSE	Kinesin-like protein KIFC1	Kifc1 Kifc4 Kifc5a Kifc5b	Mus musculus (Mouse)	674
KISHA_MOUSE	Q9CR64	KISHA_MOUSE	Protein kish-A (Transmembrane protein 167) (Transmembrane protein 167A)	Tmem167a Tmem167	Mus musculus (Mouse)	72
KLC2_MOUSE	O88448	KLC2_MOUSE	Kinesin light chain 2 (KLC 2)	Klc2	Mus musculus (Mouse)	599
KPCA_MOUSE	P20444	KPCA_MOUSE	Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13)	Prkca Pkca	Mus musculus (Mouse)	672
KPRA_MOUSE	Q9D0M1	KPRA_MOUSE	Phosphoribosyl pyrophosphate synthase-associated protein 1 (PRPP synthase-associated protein 1) (39 kDa phosphoribosypyrophosphate synthase-associated protein) (PAP39)	Prpsap1	Mus musculus (Mouse)	356
KRT34_MOUSE	Q9D646	KRT34_MOUSE	Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4) (Keratin-34) (K34)	Krt34 Ha4 Krt1-4	Mus musculus (Mouse)	392
KRT35_MOUSE	Q497I4	KRT35_MOUSE	Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5) (Keratin-35) (K35)	Krt35 Krt1-24	Mus musculus (Mouse)	455
KRT85_MOUSE	Q9Z2T6	KRT85_MOUSE	Keratin, type II cuticular Hb5 (Keratin-85) (K85) (Type II hair keratin Hb5) (Type-II keratin Kb25)	Krt85 Krt2-18 Krthb5	Mus musculus (Mouse)	507
KS6A2_MOUSE	Q9WUT3	KS6A2_MOUSE	Ribosomal protein S6 kinase alpha-2 (S6K-alpha-2) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 2) (p90-RSK 2) (p90RSK2) (MAP kinase-activated protein kinase 1c) (MAPK-activated protein kinase 1c) (MAPKAP kinase 1c) (MAPKAPK-1c) (Protein-tyrosine kinase Mpk-9) (Ribosomal S6 kinase 3) (RSK-3) (pp90RSK3)	Rps6ka2 Mapkapk1c Rsk3	Mus musculus (Mouse)	733
KTHY_MOUSE	P97930	KTHY_MOUSE	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	Dtymk Tmk	Mus musculus (Mouse)	212
LAMB2_MOUSE	Q61292	LAMB2_MOUSE	Laminin subunit beta-2 (Laminin-11 subunit beta) (Laminin-14 subunit beta) (Laminin-15 subunit beta) (Laminin-3 subunit beta) (Laminin-4 subunit beta) (Laminin-7 subunit beta) (Laminin-9 subunit beta) (S-laminin subunit beta) (S-LAM beta)	Lamb2 Lams	Mus musculus (Mouse)	1799
LANC1_MOUSE	O89112	LANC1_MOUSE	Glutathione S-transferase LANCL1 (EC 2.5.1.18) (40 kDa erythrocyte membrane protein) (p40) (LanC-like protein 1)	Lancl1 Gpr69a	Mus musculus (Mouse)	399
LARP1_MOUSE	Q6ZQ58	LARP1_MOUSE	La-related protein 1 (La ribonucleoprotein domain family member 1)	Larp1 Kiaa0731 Larp	Mus musculus (Mouse)	1072
LCAP_MOUSE	Q8C129	LCAP_MOUSE	Leucyl-cystinyl aminopeptidase (Cystinyl aminopeptidase) (EC 3.4.11.3) (Oxytocinase) (OTase)	Lnpep	Mus musculus (Mouse)	1025
LICH_MOUSE	Q9Z0M5	LICH_MOUSE	Lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL) (EC 3.1.1.13) (Cholesteryl esterase) (Lipase A) (Sterol esterase)	Lipa Lip1	Mus musculus (Mouse)	397
LIN7A_MOUSE	Q8JZS0	LIN7A_MOUSE	Protein lin-7 homolog A (Lin-7A) (mLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Vertebrate lin-7 homolog 1) (Veli-1)	Lin7a Mals1 Veli1	Mus musculus (Mouse)	233
LPP_MOUSE	Q8BFW7	LPP_MOUSE	Lipoma-preferred partner homolog	Lpp	Mus musculus (Mouse)	613
LPXN_MOUSE	Q99N69	LPXN_MOUSE	Leupaxin	Lpxn	Mus musculus (Mouse)	386
LRC47_MOUSE	Q505F5	LRC47_MOUSE	Leucine-rich repeat-containing protein 47	Lrrc47 Kiaa1185	Mus musculus (Mouse)	581
LS14A_MOUSE	Q8K2F8	LS14A_MOUSE	Protein LSM14 homolog A (Protein FAM61A) (RNA-associated protein 55A) (mRAP55A)	Lsm14a Fam61a Rap55a	Mus musculus (Mouse)	462
LSM12_MOUSE	Q9D0R8	LSM12_MOUSE	Protein LSM12	Lsm12	Mus musculus (Mouse)	195
LSM3_MOUSE	P62311	LSM3_MOUSE	U6 snRNA-associated Sm-like protein LSm3	Lsm3	Mus musculus (Mouse)	102
LTOR2_MOUSE	Q9JHS3	LTOR2_MOUSE	Ragulator complex protein LAMTOR2 (Endosomal adaptor protein p14) (Late endosomal/lysosomal Mp1-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 2) (Mitogen-activated protein-binding protein-interacting protein) (Roadblock domain-containing protein 3)	Lamtor2 Mapbpip Robld3	Mus musculus (Mouse)	125
LUC7L_MOUSE	Q9CYI4	LUC7L_MOUSE	Putative RNA-binding protein Luc7-like 1	Luc7l	Mus musculus (Mouse)	371
LY6E_MOUSE	Q64253	LY6E_MOUSE	Lymphocyte antigen 6E (Ly-6E) (Stem cell antigen 2) (Thymic shared antigen 1) (TSA-1)	Ly6e Ly67 Sca-2 Tsa-1	Mus musculus (Mouse)	136
LYAR_MOUSE	Q08288	LYAR_MOUSE	Cell growth-regulating nucleolar protein (Ly1 antibody-reactive protein) (Protein expressed in male leptotene and zygotene spermatocytes 264) (MLZ-264)	Lyar	Mus musculus (Mouse)	388
LYPA1_MOUSE	P97823	LYPA1_MOUSE	Acyl-protein thioesterase 1 (APT-1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I) (Palmitoyl-protein hydrolase) (EC 3.1.2.22)	Lypla1 Apt1 Pla1a	Mus musculus (Mouse)	230
LYPA2_MOUSE	Q9WTL7	LYPA2_MOUSE	Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase 2) (Lysophospholipase II) (LPL-II) (LysoPLA II) (mLyso II) (Palmitoyl-protein hydrolase) (EC 3.1.2.22)	Lypla2	Mus musculus (Mouse)	231
M10L1_MOUSE	Q99MV5	M10L1_MOUSE	RNA helicase Mov10l1 (EC 3.6.4.13) (Cardiac helicase activated by MEF2 protein) (Cardiac-specific RNA helicase) (Moloney leukemia virus 10-like protein 1 homolog) (MOV10-like protein 1 homolog)	Mov10l1 Champ	Mus musculus (Mouse)	1187
MA2A1_MOUSE	P27046	MA2A1_MOUSE	Alpha-mannosidase 2 (EC 3.2.1.114) (Golgi alpha-mannosidase II) (AMan II) (Man II) (Mannosidase alpha class 2A member 1) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)	Man2a1 Mana2	Mus musculus (Mouse)	1150
MAGT1_MOUSE	Q9CQY5	MAGT1_MOUSE	Magnesium transporter protein 1 (MagT1) (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1) (Oligosaccharyl transferase subunit MAGT1) (Implantation-associated protein) (IAP)	Magt1 Iag2	Mus musculus (Mouse)	335
MAK16_MOUSE	Q8BGS0	MAK16_MOUSE	Protein MAK16 homolog (Protein RBM13)	Mak16 Rbm13	Mus musculus (Mouse)	296
MAP1A_MOUSE	Q9QYR6	MAP1A_MOUSE	Microtubule-associated protein 1A (MAP-1A) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2]	Map1a Mtap1 Mtap1a	Mus musculus (Mouse)	2776
MAT2B_MOUSE	Q99LB6	MAT2B_MOUSE	Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta)	Mat2b	Mus musculus (Mouse)	334
MBOA7_MOUSE	Q8CHK3	MBOA7_MOUSE	Lysophospholipid acyltransferase 7 (LPLAT 7) (EC 2.3.1.-) (1-acylglycerophosphatidylinositol O-acyltransferase) (Bladder and breast carcinoma-overexpressed gene 1 protein) (Leukocyte receptor cluster member 4) (Lysophosphatidylinositol acyltransferase 1) (LPIAT1) (Membrane-bound O-acyltransferase domain-containing protein 7) (O-acyltransferase domain-containing protein 7) (m-mboa-7)	Mboat7 Bb1 Leng4 Lpiat1 Oact7	Mus musculus (Mouse)	473
MCES_MOUSE	Q9D0L8	MCES_MOUSE	mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase)	Rnmt Kiaa0398	Mus musculus (Mouse)	465
MCFD2_MOUSE	Q8K5B2	MCFD2_MOUSE	Multiple coagulation factor deficiency protein 2 homolog (Neural stem cell-derived neuronal survival protein)	Mcfd2 Sdnsf	Mus musculus (Mouse)	145
MCM9_MOUSE	Q2KHI9	MCM9_MOUSE	DNA helicase MCM9 (EC 3.6.4.12) (Mini-chromosome maintenance deficient domain-containing protein 1) (Minichromosome maintenance 9)	Mcm9 Mcmdc1	Mus musculus (Mouse)	1134
MCTS1_MOUSE	Q9DB27	MCTS1_MOUSE	Malignant T-cell-amplified sequence 1 (MCT-1) (Multiple copies T-cell malignancies 1)	Mcts1	Mus musculus (Mouse)	181
MCU_MOUSE	Q3UMR5	MCU_MOUSE	Calcium uniporter protein, mitochondrial	Mcu	Mus musculus (Mouse)	350
METK1_MOUSE	Q91X83	METK1_MOUSE	S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1)	Mat1a	Mus musculus (Mouse)	396
MFS10_MOUSE	Q9D2V8	MFS10_MOUSE	Major facilitator superfamily domain-containing protein 10 (Tetracycline transporter-like protein)	Mfsd10 Tetran	Mus musculus (Mouse)	456
MGST1_MOUSE	Q91VS7	MGST1_MOUSE	Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I)	Mgst1	Mus musculus (Mouse)	155
MGST3_MOUSE	Q9CPU4	MGST3_MOUSE	Glutathione S-transferase 3, mitochondrial (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)	Mgst3	Mus musculus (Mouse)	153
MIA40_MOUSE	Q8VEA4	MIA40_MOUSE	Mitochondrial intermembrane space import and assembly protein 40 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 4)	Chchd4 Mia40	Mus musculus (Mouse)	139
MIC13_MOUSE	Q8R404	MIC13_MOUSE	MICOS complex subunit MIC13	Micos13 Mic13 Qil1	Mus musculus (Mouse)	119
MIC25_MOUSE	Q91VN4	MIC25_MOUSE	MICOS complex subunit Mic25 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 6)	Chchd6 Mic25	Mus musculus (Mouse)	273
MIC26_MOUSE	Q9DCZ4	MIC26_MOUSE	MICOS complex subunit Mic26 (Apolipoprotein O) (MICOS complex subunit Mic23) (Protein FAM121B)	Apoo Fam121b Mic23 Mic26	Mus musculus (Mouse)	198
MIC27_MOUSE	Q78IK4	MIC27_MOUSE	MICOS complex subunit Mic27 (Apolipoprotein O-like) (Protein FAM121A)	Apool Fam121a Mic27	Mus musculus (Mouse)	265
MK15_MOUSE	Q80Y86	MK15_MOUSE	Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15) (EC 2.7.11.24) (Extracellular signal-regulated kinase 7) (ERK-7) (Extracellular signal-regulated kinase 8) (ERK-8)	Mapk15 Erk7 Erk8	Mus musculus (Mouse)	549
MMP21_MOUSE	Q8K3F2	MMP21_MOUSE	Matrix metalloproteinase-21 (MMP-21) (EC 3.4.24.-)	Mmp21	Mus musculus (Mouse)	568
MMTA2_MOUSE	Q99LX5	MMTA2_MOUSE	Multiple myeloma tumor-associated protein 2 homolog	Mmtag2	Mus musculus (Mouse)	260
MORC1_MOUSE	Q9WVL5	MORC1_MOUSE	MORC family CW-type zinc finger protein 1 (Protein microrchidia)	Morc1 Morc	Mus musculus (Mouse)	950
MOT4_MOUSE	P57787	MOT4_MOUSE	Monocarboxylate transporter 4 (MCT 4) (Solute carrier family 16 member 3)	Slc16a3 Mct4	Mus musculus (Mouse)	470
MOV10_MOUSE	P23249	MOV10_MOUSE	Putative helicase MOV-10 (EC 3.6.4.13) (Moloney leukemia virus 10 protein)	Mov10 Gb110	Mus musculus (Mouse)	1004
MPRI_MOUSE	Q07113	MPRI_MOUSE	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)	Igf2r	Mus musculus (Mouse)	2483
MSRE_MOUSE	P30204	MSRE_MOUSE	Macrophage scavenger receptor types I and II (Macrophage acetylated LDL receptor I and II) (Scavenger receptor type A) (SR-A) (CD antigen CD204)	Msr1 Scvr	Mus musculus (Mouse)	458
MT1_MOUSE	P02802	MT1_MOUSE	Metallothionein-1 (MT-1) (Metallothionein-I) (MT-I)	Mt1	Mus musculus (Mouse)	61
MTA70_MOUSE	Q8C3P7	MTA70_MOUSE	N6-adenosine-methyltransferase subunit METTL3 (EC 2.1.1.348) (Methyltransferase-like protein 3) (N6-adenosine-methyltransferase 70 kDa subunit) (MT-A70)	Mettl3 Mta70	Mus musculus (Mouse)	580
MTAP2_MOUSE	P20357	MTAP2_MOUSE	Microtubule-associated protein 2 (MAP-2)	Map2 Mtap2	Mus musculus (Mouse)	1828
MTNA_MOUSE	Q9CQT1	MTNA_MOUSE	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	Mri1	Mus musculus (Mouse)	369
MTX1_MOUSE	P47802	MTX1_MOUSE	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	Mtx1 Mtx Mtxn	Mus musculus (Mouse)	317
MUG1_MOUSE	P28665	MUG1_MOUSE	Murinoglobulin-1 (MuG1)	Mug1 Mug-1	Mus musculus (Mouse)	1476
MYCBP_MOUSE	Q9EQS3	MYCBP_MOUSE	c-Myc-binding protein (Associate of Myc 1) (AMY-1)	Mycbp Amy1	Mus musculus (Mouse)	103
MYH14_MOUSE	Q6URW6	MYH14_MOUSE	Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)	Myh14	Mus musculus (Mouse)	2000
MYO1A_MOUSE	O88329	MYO1A_MOUSE	Unconventional myosin-Ia (Brush border myosin I) (BBM-I) (BBMI) (Myosin I heavy chain) (MIHC)	Myo1a Bbmi Myhl	Mus musculus (Mouse)	1043
MYO1D_MOUSE	Q5SYD0	MYO1D_MOUSE	Unconventional myosin-Id	Myo1d	Mus musculus (Mouse)	1006
MYO7A_MOUSE	P97479	MYO7A_MOUSE	Unconventional myosin-VIIa	Myo7a Myo7	Mus musculus (Mouse)	2215
NAGAB_MOUSE	Q9QWR8	NAGAB_MOUSE	Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B)	Naga	Mus musculus (Mouse)	415
NAR2B_MOUSE	O35975	NAR2B_MOUSE	T-cell ecto-ADP-ribosyltransferase 2 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 2) (ARTC2) (Mono(ADP-ribosyl)transferase 2B) (NAD(+) glycohydrolase) (EC 3.2.2.5) (T-cell NAD(P)(+)--arginine ADP-ribosyltransferase 2) (T-cell differentiation marker Rt6 homolog 2) (T-cell mono(ADP-ribosyl)transferase 2)	Art2b Rt6-2 Rt6.2	Mus musculus (Mouse)	289
NCEH1_MOUSE	Q8BLF1	NCEH1_MOUSE	Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Acetylalkylglycerol acetylhydrolase) (2-acetyl MAGE hydrolase) (EC 3.1.1.71) (Arylacetamide deacetylase-like 1) (Chlorpyrifos oxon-binding protein) (CPO-BP)	Nceh1 Aadacl1 Kiaa1363	Mus musculus (Mouse)	408
NCF1_MOUSE	Q09014	NCF1_MOUSE	Neutrophil cytosol factor 1 (NCF-1) (47 kDa neutrophil oxidase factor) (NCF-47K) (Neutrophil NADPH oxidase factor 1) (p47-phox)	Ncf1	Mus musculus (Mouse)	390
NCKPL_MOUSE	Q8K1X4	NCKPL_MOUSE	Nck-associated protein 1-like (Hematopoietic protein 1)	Nckap1l Hem1	Mus musculus (Mouse)	1134
NCOA5_MOUSE	Q91W39	NCOA5_MOUSE	Nuclear receptor coactivator 5 (NCoA-5) (Coactivator independent of AF-2) (CIA)	Ncoa5	Mus musculus (Mouse)	579
NCOR2_MOUSE	Q9WU42	NCOR2_MOUSE	Nuclear receptor corepressor 2 (N-CoR2) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (SMRTe) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)	Ncor2 Smrt	Mus musculus (Mouse)	2472
NDRG3_MOUSE	Q9QYF9	NDRG3_MOUSE	Protein NDRG3 (N-myc downstream-regulated gene 3 protein) (Protein Ndr3)	Ndrg3 Ndr3	Mus musculus (Mouse)	375
NDUA6_MOUSE	Q9CQZ5	NDUA6_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14) (CI-B14) (NADH-ubiquinone oxidoreductase B14 subunit)	Ndufa6	Mus musculus (Mouse)	131
NDUAB_MOUSE	Q9D8B4	NDUAB_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7)	Ndufa11	Mus musculus (Mouse)	141
NDUB1_MOUSE	P0DN34	NDUB1_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 (Complex I-MNLL) (CI-MNLL) (NADH-ubiquinone oxidoreductase MNLL subunit)	Ndufb1	Mus musculus (Mouse)	57
NDUB3_MOUSE	Q9CQZ6	NDUB3_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 (Complex I-B12) (CI-B12) (NADH-ubiquinone oxidoreductase B12 subunit)	Ndufb3	Mus musculus (Mouse)	104
NDUB6_MOUSE	Q3UIU2	NDUB6_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 (Complex I-B17) (CI-B17) (NADH-ubiquinone oxidoreductase B17 subunit)	Ndufb6 Gm137	Mus musculus (Mouse)	128
NDUB7_MOUSE	Q9CR61	NDUB7_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 (Complex I-B18) (CI-B18) (NADH-ubiquinone oxidoreductase B18 subunit)	Ndufb7	Mus musculus (Mouse)	137
NDUBB_MOUSE	O09111	NDUBB_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Complex I-ESSS) (CI-ESSS) (NADH-ubiquinone oxidoreductase ESSS subunit) (Neuronal protein 15.6) (Np15.6) (p15.6)	Ndufb11 Np15	Mus musculus (Mouse)	151
NDUC2_MOUSE	Q9CQ54	NDUC2_MOUSE	NADH dehydrogenase [ubiquinone] 1 subunit C2 (Complex I-B14.5b) (CI-B14.5b) (NADH-ubiquinone oxidoreductase subunit B14.5b)	Ndufc2	Mus musculus (Mouse)	120
NDUS4_MOUSE	Q9CXZ1	NDUS4_MOUSE	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	Ndufs4	Mus musculus (Mouse)	175
NDUV3_MOUSE	Q8BK30	NDUV3_MOUSE	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial (Complex I-9kD) (CI-9kD) (NADH-ubiquinone oxidoreductase 9 kDa subunit)	Ndufv3	Mus musculus (Mouse)	104
NEB2_MOUSE	Q6R891	NEB2_MOUSE	Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin)	Ppp1r9b	Mus musculus (Mouse)	817
NEDD8_MOUSE	P29595	NEDD8_MOUSE	NEDD8 (Neddylin) (Neural precursor cell expressed developmentally down-regulated protein 8) (NEDD-8) (Ubiquitin-like protein Nedd8)	Nedd8 Nedd-8	Mus musculus (Mouse)	81
NENF_MOUSE	Q9CQ45	NENF_MOUSE	Neudesin (Neuron-derived neurotrophic factor) (Secreted protein of unknown function) (SPUF protein)	Nenf Spuf	Mus musculus (Mouse)	171
NETR_MOUSE	O08762	NETR_MOUSE	Neurotrypsin (EC 3.4.21.-) (Brain-specific serine protease 3) (BSSP-3) (Motopsin) (Serine protease 12)	Prss12 Bssp3	Mus musculus (Mouse)	761
NFS1_MOUSE	Q9Z1J3	NFS1_MOUSE	Cysteine desulfurase (m-Nfs1) (EC 2.8.1.7)	Nfs1 Nifs	Mus musculus (Mouse)	459
NICA_MOUSE	P57716	NICA_MOUSE	Nicastrin	Ncstn	Mus musculus (Mouse)	708
NID1_MOUSE	P10493	NID1_MOUSE	Nidogen-1 (NID-1) (Entactin)	Nid1 Ent	Mus musculus (Mouse)	1245
NIP7_MOUSE	Q9CXK8	NIP7_MOUSE	60S ribosome subunit biogenesis protein NIP7 homolog (Nucleolar pre-rRNA processing protein NIP7) (PEachy) (kDa93)	Nip7	Mus musculus (Mouse)	180
NKAP_MOUSE	Q9D0F4	NKAP_MOUSE	NF-kappa-B-activating protein	Nkap	Mus musculus (Mouse)	415
NMI_MOUSE	O35309	NMI_MOUSE	N-myc-interactor (Nmi) (N-myc and STAT interactor)	Nmi	Mus musculus (Mouse)	314
NOB1_MOUSE	Q8BW10	NOB1_MOUSE	RNA-binding protein NOB1 (EC 3.1.-.-)	Nob1	Mus musculus (Mouse)	403
NOC2L_MOUSE	Q9WV70	NOC2L_MOUSE	Nucleolar complex protein 2 homolog (Protein NOC2 homolog) (NOC2-like protein) (Novel INHAT repressor)	Noc2l Nir	Mus musculus (Mouse)	747
NOTC2_MOUSE	O35516	NOTC2_MOUSE	Neurogenic locus notch homolog protein 2 (Notch 2) (Motch B) [Cleaved into: Notch 2 extracellular truncation; Notch 2 intracellular domain]	Notch2	Mus musculus (Mouse)	2473
NP1L4_MOUSE	Q78ZA7	NP1L4_MOUSE	Nucleosome assembly protein 1-like 4	Nap1l4	Mus musculus (Mouse)	375
NPAS2_MOUSE	P97460	NPAS2_MOUSE	Neuronal PAS domain-containing protein 2 (Neuronal PAS2)	Npas2	Mus musculus (Mouse)	816
NPS3B_MOUSE	Q9CQE1	NPS3B_MOUSE	Protein NipSnap homolog 3B (NipSnap3B) (NipSnap-related protein) (Protein NipSnap homolog 3A) (NipSnap3A)	Nipsnap3b Nipsnap3a	Mus musculus (Mouse)	247
NQO2_MOUSE	Q9JI75	NQO2_MOUSE	Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.5.1) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2) (QR2)	Nqo2 Nmor2	Mus musculus (Mouse)	231
NRADD_MOUSE	Q8CJ26	NRADD_MOUSE	Death domain-containing membrane protein NRADD (Neurotrophin receptor homolog-2) (NRH2) (Neurotrophin receptor-alike death domain protein)	Nradd	Mus musculus (Mouse)	228
NRAP_MOUSE	Q80XB4	NRAP_MOUSE	Nebulin-related-anchoring protein (N-RAP)	Nrap	Mus musculus (Mouse)	1728
NRDC_MOUSE	Q8BHG1	NRDC_MOUSE	Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase)	Nrdc Nrd1	Mus musculus (Mouse)	1161
NRIP1_MOUSE	Q8CBD1	NRIP1_MOUSE	Nuclear receptor-interacting protein 1 (Nuclear factor RIP140) (Receptor-interacting protein 140)	Nrip1	Mus musculus (Mouse)	1161
NT5C_MOUSE	Q9JM14	NT5C_MOUSE	5'(3')-deoxyribonucleotidase, cytosolic type (EC 3.1.3.-) (Cytosolic 5',3'-pyrimidine nucleotidase) (Deoxy-5'-nucleotidase 1) (dNT-1)	Nt5c Dnt1	Mus musculus (Mouse)	200
NTF2_MOUSE	P61971	NTF2_MOUSE	Nuclear transport factor 2 (NTF-2)	Nutf2 Ntf2	Mus musculus (Mouse)	127
NU160_MOUSE	Q9Z0W3	NU160_MOUSE	Nuclear pore complex protein Nup160 (160 kDa nucleoporin) (Gene trap locus 1-13 protein) (GTL-13) (Nucleoporin Nup160)	Nup160 Gtl1-13 Kiaa0197	Mus musculus (Mouse)	1402
NU1M_MOUSE	P03888	NU1M_MOUSE	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	Mtnd1 mt-Nd1 Nd1	Mus musculus (Mouse)	318
NU214_MOUSE	Q80U93	NU214_MOUSE	Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214)	Nup214 Kiaa0023	Mus musculus (Mouse)	2085
NUB1_MOUSE	P54729	NUB1_MOUSE	NEDD8 ultimate buster 1 (Negative regulator of ubiquitin-like proteins 1) (Protein BS4)	Nub1 Nyren18	Mus musculus (Mouse)	614
NUCKS_MOUSE	Q80XU3	NUCKS_MOUSE	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (JC7)	Nucks1 Nucks	Mus musculus (Mouse)	234
NUDT5_MOUSE	Q9JKX6	NUDT5_MOUSE	ADP-sugar pyrophosphatase (EC 3.6.1.13) (8-oxo-dGDP phosphatase) (EC 3.6.1.58) (Nuclear ATP-synthesis protein NUDIX5) (EC 2.7.7.96) (Nucleoside diphosphate-linked moiety X motif 5) (Nudix motif 5)	Nudt5	Mus musculus (Mouse)	218
NUDT7_MOUSE	Q99P30	NUDT7_MOUSE	Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 7) (Nudix motif 7)	Nudt7	Mus musculus (Mouse)	236
NUFP2_MOUSE	Q5F2E7	NUFP2_MOUSE	FMR1-interacting protein NUFIP2 (82 kDa FMRP-interacting protein) (82-FIP) (FMRP-interacting protein 2)	Nufip2 Kiaa1321	Mus musculus (Mouse)	692
